property_id,locality_name,postal_code,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,main_city,province
11141961,sint-joost-ten-node,1210,,,APARTMENT,FLAT_STUDIO,120000.0,BUY_REGULAR,,33.0,NOT_INSTALLED,1.0,,0,1.0,6.0,,,,,,TO_BE_DONE_UP,sint-joost-ten-node,brussel
11158977,elsene,1050,50.8327332,4.3641305,APARTMENT,APARTMENT,325000.0,BUY_REGULAR,,59.0,USA_SEMI_EQUIPPED,1.0,0.0,0,,,,,,2.0,0.0,AS_NEW,elsene,brussel
11072105,brussel,1040,50.8435094,4.3702633,APARTMENT,APARTMENT,650000.0,BUY_REGULAR,,216.0,INSTALLED,1.0,0.0,0,,,,,,3.0,0.0,AS_NEW,etterbeek,brussel
11129303,de haan,8420,51.2571575,2.9994248,APARTMENT,APARTMENT,119000.0,BUY_REGULAR,1.0,48.0,,,,0,,,,,,,,GOOD,de haan,west-vlaanderen
11155131,vorselaar,2290,51.2026925,4.7683497,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,,75.0,SEMI_EQUIPPED,1.0,,1,1.0,,,,,3.0,,GOOD,vorselaar,antwerpen
11142564,waver,1300,50.7213074,4.6252711,APARTMENT,DUPLEX,135000.0,BUY_REGULAR,,45.0,SEMI_EQUIPPED,1.0,,1,,,,,,3.0,,TO_BE_DONE_UP,wavre,waals-brabant
11093958,nijvel,1400,50.5995225,4.333127,APARTMENT,GROUND_FLOOR,165000.0,BUY_REGULAR,,65.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,10.0,,,,,0.0,GOOD,nivelles,waals-brabant
10985322,brussel,1000,50.8474409,4.3475146,APARTMENT,APARTMENT,415000.0,BUY_REGULAR,,93.0,USA_INSTALLED,1.0,,1,,,1.0,45.0,,,,AS_NEW,brussel,brussel
10978765,knokke,8300,51.3519685,3.2886899,APARTMENT,APARTMENT,319000.0,BUY_REGULAR,5.0,29.0,,,,0,,,,,,2.0,,,knokke-heist,west-vlaanderen
11100255,knokke-zoute,8300,51.3496273,3.2848212,APARTMENT,APARTMENT,675000.0,BUY_REGULAR,9.0,85.0,HYPER_EQUIPPED,1.0,,0,,,,,,2.0,,,knokke-heist,west-vlaanderen
11153019,kessel,2560,51.1403599,4.6312648,APARTMENT,APARTMENT,379000.0,BUY_REGULAR,12.0,170.0,HYPER_EQUIPPED,1.0,,0,,,,,,,,,nijlen,antwerpen
11154493,anderlecht,1070,50.8214707,4.2976678,APARTMENT,APARTMENT,169000.0,BUY_REGULAR,,70.0,NOT_INSTALLED,1.0,,0,1.0,13.0,,,,,,TO_RENOVATE,anderlecht,brussel
10952162,oostende,8400,51.2322806,2.9175081,APARTMENT,APARTMENT,800000.0,BUY_REGULAR,12.0,223.0,,1.0,,0,1.0,,,,,,,TO_RENOVATE,oostende,west-vlaanderen
11156572,gent,9051,51.0274241,3.696983,APARTMENT,APARTMENT,320000.0,BUY_REGULAR,,90.0,USA_HYPER_EQUIPPED,1.0,0.0,0,1.0,11.0,,,,4.0,0.0,AS_NEW,gent,oost-vlaanderen
10545648,knokke-heist,8300,51.350444,3.2842117,APARTMENT,APARTMENT,845000.0,BUY_REGULAR,,74.0,USA_SEMI_EQUIPPED,1.0,1.0,0,1.0,4.0,,,,2.0,0.0,AS_NEW,knokke-heist,west-vlaanderen
10892319,vilvoorde,1800,50.9228315,4.4213012,APARTMENT,APARTMENT,346939.0,BUY_REGULAR,,112.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,8.0,,,,4.0,,AS_NEW,vilvoorde,vlaams-brabant
