property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building
11151864,Turnhout,2300,Steenweg op Gierle,84,51.3162867,4.9322054,HOUSE,HOUSE,175000,BUY_REGULAR,,120,SEMI_EQUIPPED,1,,1,1,,1,,227,3,,TO_RENOVATE
11154023,Beringen,3582,Heesterweg,39,51.065132,5.2272306,HOUSE,HOUSE,249000,BUY_REGULAR,1,157,,1,,0,,,,,1186,4,,TO_BE_DONE_UP
11141961,SAINT-JOSSE-TEN-NOODE,1210,,,,,APARTMENT,FLAT_STUDIO,120000,BUY_REGULAR,,33,NOT_INSTALLED,1,,0,1,6,,,,,,TO_BE_DONE_UP
11150522,Gavere,9890,Slaapstraat,8,50.9145933,3.6505555,HOUSE_GROUP,HOUSE_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
11145864,Comblain-Fairon,4180,Rue du Ruisseau,1,50.4460273,5.5428264,HOUSE,HOUSE,499000,BUY_REGULAR,21,280,INSTALLED,1,,0,,,,,1323,,,
11163132,Nijvel,1400,,,,,HOUSE,HOUSE,375000,BUY_REGULAR,,160,INSTALLED,1,0,0,,,,,261,4,,
11158977,Elsene,1050,Rue Souveraine,41,50.8327332,4.3641305,APARTMENT,APARTMENT,325000,BUY_REGULAR,,59,USA_SEMI_EQUIPPED,1,0,0,,,,,,2,0,AS_NEW
10851681,Marcinelle,6001,,,,,HOUSE,VILLA,320000,BUY_REGULAR,,135,INSTALLED,1,0,0,,,,,780,4,,AS_NEW
11159690,Gent,9000,Sint-Katelijnestraat,16,51.0590626,3.7280884,HOUSE,MIXED_USE_BUILDING,895000,BUY_REGULAR,1,561,,,,0,,,1,30,264,2,,TO_RENOVATE
10818793,Knokke-Heist,8300,Kustlaan,115,51.3543994,3.2977628,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
11144974,FLORENVILLE,6820,rue des écoles,7,49.715166,5.233625,HOUSE,HOUSE,175000,BUY_REGULAR,,195,SEMI_EQUIPPED,1,,0,,,,,142,2,,GOOD
11072105,Bruxelles,1040,Rue Guimard,19,50.8435094,4.3702633,APARTMENT,APARTMENT,650000,BUY_REGULAR,,216,INSTALLED,1,0,0,,,,,,3,0,AS_NEW
